airport_code,airport_name,cloud,condition,condition_code,dewpoint,feels_like,gust_speed,humidity,latitude,longitude,precipitation,pressure,rain_probability,snow_probability,temperature,timestamp,uv_index,visibility,wind_direction,wind_direction_symbol,wind_speed
SGN,Sân bay Quốc tế Tân Sơn Nhất,14,Clear,1000,21.3,30.1,16.6,68,10.8187999725,106.652000427,0.0,1007.0,0,0,27.7,2025-03-03 19:00,0.0,10.0,153,SSE,19.8
SGN,Sân bay Quốc tế Tân Sơn Nhất,12,Clear,1000,21.7,29.5,16.6,73,10.8187999725,106.652000427,0.0,1008.0,0,0,27.0,2025-03-03 20:00,0.0,10.0,146,SSE,19.8
SGN,Sân bay Quốc tế Tân Sơn Nhất,15,Clear,1000,22.0,29.2,15.8,76,10.8187999725,106.652000427,0.0,1009.0,0,0,26.6,2025-03-03 21:00,0.0,10.0,140,SE,18.7
SGN,Sân bay Quốc tế Tân Sơn Nhất,19,Clear,1000,22.2,28.9,15.8,78,10.8187999725,106.652000427,0.0,1009.0,0,0,26.3,2025-03-03 22:00,0.0,10.0,141,SE,18.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,28,Partly cloudy,1003,22.4,28.8,13.6,80,10.8187999725,106.652000427,0.0,1009.0,0,0,26.1,2025-03-03 23:00,0.0,10.0,144,SE,15.8
SGN,Sân bay Quốc tế Tân Sơn Nhất,7,Clear,1000,22.1,28.1,14.2,80,10.8187999725,106.652000427,0.0,1009.0,0,0,25.7,2025-03-04 00:00,0.0,10.0,147,SSE,16.2
SGN,Sân bay Quốc tế Tân Sơn Nhất,14,Clear,1000,22.3,27.9,12.6,83,10.8187999725,106.652000427,0.0,1008.0,0,0,25.5,2025-03-04 01:00,0.0,10.0,153,SSE,14.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,35,Partly cloudy,1003,22.5,27.7,9.2,85,10.8187999725,106.652000427,0.0,1008.0,45,0,25.2,2025-03-04 02:00,0.0,10.0,158,SSE,10.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,40,Partly cloudy,1003,22.6,27.3,8.1,87,10.8187999725,106.652000427,0.0,1008.0,45,0,24.9,2025-03-04 03:00,0.0,10.0,167,SSE,9.0
SGN,Sân bay Quốc tế Tân Sơn Nhất,37,Partly cloudy,1003,22.7,27.1,7.9,89,10.8187999725,106.652000427,0.0,1008.0,45,0,24.7,2025-03-04 04:00,0.0,10.0,171,S,8.6
SGN,Sân bay Quốc tế Tân Sơn Nhất,41,Partly cloudy,1003,22.7,27.0,7.4,90,10.8187999725,106.652000427,0.0,1008.0,0,0,24.5,2025-03-04 05:00,0.0,10.0,172,S,7.9
SGN,Sân bay Quốc tế Tân Sơn Nhất,43,Partly cloudy,1003,22.8,26.8,7.2,91,10.8187999725,106.652000427,0.0,1009.0,0,0,24.3,2025-03-04 06:00,0.0,10.0,171,S,7.6
SGN,Sân bay Quốc tế Tân Sơn Nhất,38,Partly cloudy,1003,22.8,27.8,7.1,86,10.8187999725,106.652000427,0.0,1010.0,0,0,25.2,2025-03-04 07:00,7.0,10.0,161,SSE,8.6
SGN,Sân bay Quốc tế Tân Sơn Nhất,62,Partly cloudy,1003,22.3,30.0,7.7,75,10.8187999725,106.652000427,0.0,1010.0,0,0,27.2,2025-03-04 08:00,7.0,10.0,145,SE,10.8
SGN,Sân bay Quốc tế Tân Sơn Nhất,34,Partly cloudy,1003,21.4,32.3,8.0,62,10.8187999725,106.652000427,0.0,1011.0,0,0,29.4,2025-03-04 09:00,7.0,10.0,133,SE,11.2
SGN,Sân bay Quốc tế Tân Sơn Nhất,18,Sunny,1000,20.5,34.4,8.2,52,10.8187999725,106.652000427,0.0,1010.0,0,0,31.5,2025-03-04 10:00,8.0,10.0,130,SE,11.5
SGN,Sân bay Quốc tế Tân Sơn Nhất,13,Sunny,1000,20.0,36.2,8.5,46,10.8187999725,106.652000427,0.0,1009.0,0,0,33.2,2025-03-04 11:00,8.0,10.0,135,SE,11.9
SGN,Sân bay Quốc tế Tân Sơn Nhất,23,Sunny,1000,19.6,37.6,8.2,42,10.8187999725,106.652000427,0.0,1008.0,0,0,34.5,2025-03-04 12:00,8.0,10.0,144,SE,11.5
SGN,Sân bay Quốc tế Tân Sơn Nhất,51,Partly cloudy,1003,19.4,38.6,7.7,39,10.8187999725,106.652000427,0.0,1007.0,0,0,35.5,2025-03-04 13:00,9.0,10.0,149,SSE,10.8
SGN,Sân bay Quốc tế Tân Sơn Nhất,44,Partly cloudy,1003,19.2,39.2,8.0,37,10.8187999725,106.652000427,0.0,1006.0,0,0,36.1,2025-03-04 14:00,9.0,10.0,163,SSE,11.2
SGN,Sân bay Quốc tế Tân Sơn Nhất,46,Partly cloudy,1003,19.4,38.4,11.8,39,10.8187999725,106.652000427,0.0,1005.0,0,0,35.4,2025-03-04 15:00,9.0,10.0,165,SSE,16.6
SGN,Sân bay Quốc tế Tân Sơn Nhất,25,Sunny,1000,20.1,36.7,15.7,45,10.8187999725,106.652000427,0.0,1005.0,0,0,33.5,2025-03-04 16:00,8.0,10.0,159,SSE,22.0
SGN,Sân bay Quốc tế Tân Sơn Nhất,16,Sunny,1000,20.5,34.2,17.3,53,10.8187999725,106.652000427,0.0,1005.0,0,0,31.3,2025-03-04 17:00,8.0,10.0,155,SSE,23.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,12,Sunny,1000,20.9,31.3,18.1,63,10.8187999725,106.652000427,0.0,1006.0,0,0,28.8,2025-03-04 18:00,7.0,10.0,151,SSE,22.3
SGN,Sân bay Quốc tế Tân Sơn Nhất,14,Clear,1000,21.7,29.9,17.3,71,10.8187999725,106.652000427,0.0,1007.0,0,0,27.3,2025-03-04 19:00,0.0,10.0,139,SE,20.9
SGN,Sân bay Quốc tế Tân Sơn Nhất,16,Clear,1000,22.0,29.4,16.2,75,10.8187999725,106.652000427,0.0,1008.0,0,0,26.8,2025-03-04 20:00,0.0,10.0,134,SE,19.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,18,Clear,1000,22.2,29.1,14.6,77,10.8187999725,106.652000427,0.0,1009.0,0,0,26.5,2025-03-04 21:00,0.0,10.0,139,SE,17.3
SGN,Sân bay Quốc tế Tân Sơn Nhất,27,Partly cloudy,1003,22.4,28.9,13.4,79,10.8187999725,106.652000427,0.0,1010.0,0,0,26.2,2025-03-04 22:00,0.0,10.0,147,SSE,15.8
SGN,Sân bay Quốc tế Tân Sơn Nhất,15,Clear,1000,22.5,28.5,10.9,81,10.8187999725,106.652000427,0.0,1010.0,0,0,25.9,2025-03-04 23:00,0.0,10.0,155,SSE,12.6
SGN,Sân bay Quốc tế Tân Sơn Nhất,16,Clear,1000,21.9,28.3,10.1,79,10.8187999725,106.652000427,0.0,1009.0,0,0,25.9,2025-03-05 00:00,0.0,10.0,162,SSE,11.5
SGN,Sân bay Quốc tế Tân Sơn Nhất,9,Clear,1000,22.1,28.0,9.2,81,10.8187999725,106.652000427,0.0,1008.0,0,0,25.6,2025-03-05 01:00,0.0,10.0,166,SSE,10.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,17,Clear,1000,22.3,27.7,8.4,83,10.8187999725,106.652000427,0.0,1008.0,0,0,25.3,2025-03-05 02:00,0.0,10.0,171,S,9.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,21,Clear,1000,22.4,27.5,7.6,85,10.8187999725,106.652000427,0.0,1008.0,0,0,25.0,2025-03-05 03:00,0.0,10.0,168,SSE,8.3
SGN,Sân bay Quốc tế Tân Sơn Nhất,26,Partly cloudy,1003,22.5,27.3,8.3,87,10.8187999725,106.652000427,0.0,1008.0,0,0,24.9,2025-03-05 04:00,0.0,10.0,166,SSE,9.0
SGN,Sân bay Quốc tế Tân Sơn Nhất,30,Partly cloudy,1003,22.6,27.1,9.1,88,10.8187999725,106.652000427,0.0,1008.0,0,0,24.7,2025-03-05 05:00,0.0,10.0,162,SSE,9.7
SGN,Sân bay Quốc tế Tân Sơn Nhất,33,Partly cloudy,1003,22.6,27.0,8.8,89,10.8187999725,106.652000427,0.0,1008.0,0,0,24.6,2025-03-05 06:00,0.0,10.0,150,SSE,9.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,29,Partly cloudy,1003,22.7,28.1,9.4,84,10.8187999725,106.652000427,0.0,1009.0,0,0,25.5,2025-03-05 07:00,7.0,10.0,147,SSE,11.5
SGN,Sân bay Quốc tế Tân Sơn Nhất,51,Partly cloudy,1003,22.1,30.4,9.8,72,10.8187999725,106.652000427,0.0,1010.0,0,0,27.6,2025-03-05 08:00,7.0,10.0,143,SE,13.7
SGN,Sân bay Quốc tế Tân Sơn Nhất,30,Partly cloudy,1003,21.4,32.9,9.3,61,10.8187999725,106.652000427,0.0,1010.0,0,0,29.8,2025-03-05 09:00,7.0,10.0,138,SE,13.0
SGN,Sân bay Quốc tế Tân Sơn Nhất,21,Sunny,1000,20.8,35.1,9.0,52,10.8187999725,106.652000427,0.0,1010.0,0,0,31.9,2025-03-05 10:00,8.0,10.0,137,SE,12.6
SGN,Sân bay Quốc tế Tân Sơn Nhất,47,Partly cloudy,1003,20.3,36.8,9.0,46,10.8187999725,106.652000427,0.0,1009.0,0,0,33.5,2025-03-05 11:00,8.0,10.0,141,SE,12.6
SGN,Sân bay Quốc tế Tân Sơn Nhất,35,Partly cloudy,1003,20.1,38.4,9.5,42,10.8187999725,106.652000427,0.0,1008.0,0,0,34.9,2025-03-05 12:00,8.0,10.0,148,SSE,13.3
SGN,Sân bay Quốc tế Tân Sơn Nhất,88,Overcast,1009,20.0,39.2,11.3,40,10.8187999725,106.652000427,0.0,1007.0,0,0,35.6,2025-03-05 13:00,8.0,10.0,153,SSE,15.8
SGN,Sân bay Quốc tế Tân Sơn Nhất,48,Partly cloudy,1003,20.2,38.1,13.9,43,10.8187999725,106.652000427,0.0,1006.0,45,0,34.6,2025-03-05 14:00,8.0,10.0,156,SSE,19.4
SGN,Sân bay Quốc tế Tân Sơn Nhất,31,Partly cloudy,1003,20.5,36.6,15.7,47,10.8187999725,106.652000427,0.0,1005.0,0,0,33.2,2025-03-05 15:00,8.0,10.0,157,SSE,22.0
